Gene	0bp	100bp	250bp	500bp	750bp	1000bp	1500bp	2000bp	3000bp	4000bp	5000bp	7500bp	10000bp	up_0bp	up_100bp	up_250bp	up_500bp	up_750bp	up_1000bp	up_1500bp	up_2000bp	up_3000bp	up_4000bp	up_5000bp	up_7500bp	up_10000bp	down_0bp	down_100bp	down_250bp	down_500bp	down_750bp	down_1000bp	down_1500bp	down_2000bp	down_3000bp	down_4000bp	down_5000bp	down_7500bp	down_10000bp
ID=AT2G02660.Araport11.447;Name=AT2G02660		1.0	1.0	2.0	3.0	3.0	4.0	4.0	4.0	6.0	9.0	12.0	15.0		1.0	1.0	2.0	3.0	3.0	3.0	3.0	3.0	5.0	5.0	6.0	7.0							1.0	1.0	1.0	1.0	4.0	6.0	8.0
ID=AT2G39415.Araport11.447;Name=AT2G39415																																							
ID=AT2G45130.Araport11.447;Name=AT2G45130																																							
ID=AT2G27750.Araport11.447;Name=AT2G27750																																							
ID=AT2G39110.Araport11.447;Name=AT2G39110																																							
ID=AT2G15300.Araport11.447;Name=AT2G15300			1.0	2.0	3.0	4.0	4.0	4.0	4.0	6.0	8.0	12.0	18.0			1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0					1.0	2.0	2.0	2.0	2.0	4.0	6.0	10.0	16.0
ID=AT2G34390.Araport11.447;Name=AT2G34390																																							
ID=AT2G41520.Araport11.447;Name=AT2G41520																																							
ID=AT2G07667.Araport11.447;Name=AT2G07667													3.0													1.0													2.0
ID=AT2G24280.Araport11.447;Name=AT2G24280						1.0	1.0	2.0	3.0	3.0	3.0	3.0	4.0								1.0	2.0	2.0	2.0	2.0	3.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G43610.Araport11.447;Name=AT2G43610									2.0	3.0	4.0	4.0	4.0									2.0	3.0	3.0	3.0	3.0											1.0	1.0	1.0
ID=AT2G17170.Araport11.447;Name=AT2G17170																																							
ID=AT2G38910.Araport11.447;Name=AT2G38910																																							
ID=AT2G11225.Araport11.447;Name=AT2G11225	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	6.0	7.0	8.0	10.0	15.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	4.0	5.0	6.0	7.0	11.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	3.0	3.0	4.0	5.0
ID=AT2G44360.Araport11.447;Name=AT2G44360																																							
ID=AT2G21237.Araport11.447;Name=AT2G21237													1.0																										1.0
ID=AT2G41060.Araport11.447;Name=AT2G41060																																							
ID=AT2G36060.Araport11.447;Name=AT2G36060							1.0	1.0	2.0	2.0	2.0	2.0	3.0																				1.0	1.0	2.0	2.0	2.0	2.0	3.0
ID=AT2G07684.Araport11.447;Name=AT2G07684																																							
ID=AT2G32950.Araport11.447;Name=AT2G32950																																							
ID=AT2G45310.Araport11.447;Name=AT2G45310						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT2G24420.Araport11.447;Name=AT2G24420																																							
ID=AT2G40950.Araport11.447;Name=AT2G40950									1.0	2.0	3.0	3.0	3.0									1.0	2.0	3.0	3.0	3.0													
ID=AT2G39940.Araport11.447;Name=AT2G39940																																							
ID=AT2G12480.Araport11.447;Name=AT2G12480	1.0	1.0	1.0	2.0	2.0	2.0	5.0	6.0	9.0	9.0	9.0	16.0	23.0	1.0	1.0	1.0	2.0	2.0	2.0	5.0	5.0	5.0	5.0	5.0	9.0	12.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	5.0	5.0	5.0	8.0	12.0
ID=AT2G45910.Araport11.447;Name=AT2G45910																																							
ID=AT2G06425.Araport11.447;Name=AT2G06425							1.0	2.0	3.0	4.0	4.0	4.0	9.0										1.0	1.0	1.0	3.0							1.0	2.0	3.0	3.0	3.0	3.0	6.0
ID=AT2G35680.Araport11.447;Name=AT2G35680																																							
ID=AT2G25130.Araport11.447;Name=AT2G25130				1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0	4.0				1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0	4.0													
ID=AT2G46860.Araport11.447;Name=AT2G46860										1.0	1.0	1.0	2.0										1.0	1.0	1.0	2.0													
ID=AT2G36325.Araport11.447;Name=AT2G36325																																							
ID=AT2G37330.Araport11.447;Name=AT2G37330	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G44240.Araport11.447;Name=AT2G44240													1.0																										1.0
ID=AT2G40750.Araport11.447;Name=AT2G40750										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT2G39920.Araport11.447;Name=AT2G39920																																							
ID=AT2G22680.Araport11.447;Name=AT2G22680						1.0	1.0	2.0	2.0	2.0	3.0	4.0	7.0						1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0											1.0	2.0	5.0
ID=AT2G40330.Araport11.447;Name=AT2G40330																																							
ID=AT2G17470.Araport11.447;Name=AT2G17470				1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	4.0	8.0												1.0	2.0				1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	6.0
ID=AT2G07722.Araport11.447;Name=AT2G07722																																							
ID=AT2G19990.Araport11.447;Name=AT2G19990									1.0	2.0	2.0	3.0	3.0																						1.0	2.0	2.0	3.0	3.0
ID=AT2G02540.Araport11.447;Name=AT2G02540						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G05100.Araport11.447;Name=AT2G05100	2.0	2.0	3.0	4.0	5.0	5.0	5.0	6.0	6.0	7.0	7.0	8.0	11.0	2.0	2.0	3.0	4.0	5.0	5.0	5.0	5.0	5.0	6.0	6.0	6.0	6.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0	7.0
ID=AT2G35720.Araport11.447;Name=AT2G35720																																							
ID=AT2G03720.Araport11.447;Name=AT2G03720					1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	4.0											1.0	1.0	2.0					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0
ID=AT2G28960.Araport11.447;Name=AT2G28960																																							
ID=AT2G31980.Araport11.447;Name=AT2G31980																																							
ID=AT2G47810.Araport11.447;Name=AT2G47810																																							
ID=AT2G04842.Araport11.447;Name=AT2G04842			1.0	3.0	3.0	3.0	3.0	3.0	4.0	5.0	5.0	8.0	11.0			1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0									1.0	2.0	2.0	5.0	5.0
ID=AT2G24390.Araport11.447;Name=AT2G24390												1.0	1.0												1.0	1.0													
ID=AT2G16270.Araport11.447;Name=AT2G16270								1.0	1.0	1.0	1.0	1.0	2.0													1.0								1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G48100.Araport11.447;Name=AT2G48100	2.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0
ID=AT2G18750.Araport11.447;Name=AT2G18750																																							
ID=AT2G03170.Araport11.447;Name=AT2G03170																																							
ID=AT2G38480.Araport11.447;Name=AT2G38480																																							
ID=AT2G38905.Araport11.447;Name=AT2G38905																																							
ID=AT2G15670.Araport11.447;Name=AT2G15670						1.0	2.0	2.0	2.0	2.0	5.0	5.0	9.0											3.0	3.0	6.0						1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0
ID=AT2G20690.Araport11.447;Name=AT2G20690	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G42440.Araport11.447;Name=AT2G42440												1.0	2.0												1.0	2.0													
ID=AT2G45580.Araport11.447;Name=AT2G45580																																							
ID=AT2G31360.Araport11.447;Name=AT2G31360					1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0					1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0													
ID=AT2G40520.Araport11.447;Name=AT2G40520																																							
ID=AT2G37510.Araport11.447;Name=AT2G37510										1.0	2.0	2.0	3.0										1.0	2.0	2.0	2.0													1.0
ID=AT2G33435.Araport11.447;Name=AT2G33435																																							
ID=AT2G01830.Araport11.447;Name=AT2G01830	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0
ID=AT2G02450.Araport11.447;Name=AT2G02450												1.0	3.0												1.0	1.0													2.0
ID=AT2G02790.Araport11.447;Name=AT2G02790			1.0	1.0	1.0	1.0	1.0	2.0	3.0	5.0	5.0	5.0	6.0								1.0	1.0	1.0	1.0	1.0	1.0			1.0	1.0	1.0	1.0	1.0	1.0	2.0	4.0	4.0	4.0	5.0
ID=AT2G34520.Araport11.447;Name=AT2G34520											2.0	4.0	4.0											2.0	4.0	4.0													
ID=AT2G25210.Araport11.447;Name=AT2G25210										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT2G02440.Araport11.447;Name=AT2G02440								1.0	1.0	1.0	1.0	2.0	2.0												1.0	1.0								1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G22530.Araport11.447;Name=AT2G22530												3.0	3.0												1.0	1.0												2.0	2.0
ID=AT2G20835.Araport11.447;Name=AT2G20835										1.0	1.0	1.0	1.0																							1.0	1.0	1.0	1.0
ID=AT2G02148.Araport11.447;Name=AT2G02148									1.0	1.0	1.0	1.0	3.0													1.0									1.0	1.0	1.0	1.0	2.0
ID=AT2G15590.Araport11.447;Name=AT2G15590					2.0	2.0	2.0	3.0	4.0	4.0	5.0	5.0	6.0								1.0	1.0	1.0	1.0	1.0	2.0					2.0	2.0	2.0	2.0	3.0	3.0	4.0	4.0	4.0
ID=AT2G27430.Araport11.447;Name=AT2G27430																																							
ID=AT2G18080.Araport11.447;Name=AT2G18080			1.0	1.0	1.0	1.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0							2.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT2G01330.Araport11.447;Name=AT2G01330			1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	5.0	5.0			1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0											1.0	3.0	3.0
ID=AT2G05970.Araport11.447;Name=AT2G05970					1.0	1.0	3.0	4.0	4.0	4.0	4.0	6.0	9.0							1.0	1.0	1.0	1.0	1.0	1.0	2.0					1.0	1.0	2.0	3.0	3.0	3.0	3.0	5.0	7.0
ID=AT2G07739.Araport11.447;Name=AT2G07739													1.0																										1.0
ID=AT2G44120.Araport11.447;Name=AT2G44120																																							
ID=AT2G32360.Araport11.447;Name=AT2G32360																																							
ID=AT2G23360.Araport11.447;Name=AT2G23360																																							
ID=AT2G31865.Araport11.447;Name=AT2G31865												1.0	1.0																									1.0	1.0
ID=AT2G16710.Araport11.447;Name=AT2G16710				1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	6.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0							1.0	1.0	1.0	1.0	1.0	2.0	3.0
ID=AT2G20680.Araport11.447;Name=AT2G20680							1.0	1.0	1.0	1.0	1.0	1.0	1.0																				1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G29080.Araport11.447;Name=AT2G29080																																							
ID=AT2G22050.Araport11.447;Name=AT2G22050											1.0	1.0	1.0																								1.0	1.0	1.0
ID=AT2G20350.Araport11.447;Name=AT2G20350							1.0	1.0	1.0	1.0	1.0	1.0	1.0							1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT2G46280.Araport11.447;Name=AT2G46280													1.0																										1.0
ID=AT2G35555.Araport11.447;Name=AT2G35555								1.0	1.0	1.0	1.0	1.0	1.0								1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT2G26640.Araport11.447;Name=AT2G26640					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT2G28810.Araport11.447;Name=AT2G28810												1.0	1.0																									1.0	1.0
ID=AT2G19870.Araport11.447;Name=AT2G19870		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0													
ID=AT2G46700.Araport11.447;Name=AT2G46700												1.0	7.0													2.0												1.0	5.0
ID=AT2G14210.Araport11.447;Name=AT2G14210			1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	5.0	9.0												2.0	6.0			1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	3.0	3.0
ID=AT2G22060.Araport11.447;Name=AT2G22060					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0																		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G26530.Araport11.447;Name=AT2G26530						1.0	1.0	1.0	1.0	2.0	3.0	3.0	3.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0										1.0	2.0	2.0	2.0
ID=AT2G35330.Araport11.447;Name=AT2G35330													2.0													2.0													
ID=AT2G41860.Araport11.447;Name=AT2G41860													1.0																										1.0
ID=AT2G35410.Araport11.447;Name=AT2G35410										2.0	2.0	2.0	2.0										2.0	2.0	2.0	2.0													
ID=AT2G42450.Araport11.447;Name=AT2G42450					1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0					1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0													
ID=AT2G28520.Araport11.447;Name=AT2G28520			1.0	1.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0			1.0	1.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0													
ID=AT2G21690.Araport11.447;Name=AT2G21690												3.0	6.0												1.0	1.0												2.0	5.0
ID=AT2G27780.Araport11.447;Name=AT2G27780				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0																	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
ID=AT2G05510.Araport11.447;Name=AT2G05510			1.0	1.0	1.0	1.0	1.0	3.0	5.0	6.0	10.0	15.0	16.0									1.0	1.0	3.0	8.0	8.0			1.0	1.0	1.0	1.0	1.0	3.0	4.0	5.0	7.0	7.0	8.0
ID=AT2G21810.Araport11.447;Name=AT2G21810													3.0																										3.0
ID=AT2G26380.Araport11.447;Name=AT2G26380												3.0	3.0												1.0	1.0												2.0	2.0
ID=AT2G33730.Araport11.447;Name=AT2G33730												1.0	1.0												1.0	1.0													
ID=AT2G42980.Araport11.447;Name=AT2G42980																																							
ID=AT2G39760.Araport11.447;Name=AT2G39760		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0													1.0
ID=AT2G27145.Araport11.447;Name=AT2G27145									1.0	1.0	3.0	3.0	3.0																						1.0	1.0	3.0	3.0	3.0
ID=AT2G22345.Araport11.447;Name=AT2G22345										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT2G44440.Araport11.447;Name=AT2G44440																																							
ID=AT2G16580.Araport11.447;Name=AT2G16580	3.0	3.0	3.0	3.0	3.0	5.0	6.0	6.0	6.0	9.0	9.0	12.0	15.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	5.0	5.0	5.0	5.0	3.0	3.0	3.0	3.0	3.0	5.0	6.0	6.0	6.0	7.0	7.0	10.0	13.0
ID=AT2G37810.Araport11.447;Name=AT2G37810		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0															1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G29900.Araport11.447;Name=AT2G29900									1.0	1.0	1.0	1.0	1.0																						1.0	1.0	1.0	1.0	1.0
ID=AT2G31440.Araport11.447;Name=AT2G31440										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT2G30730.Araport11.447;Name=AT2G30730												2.0	3.0																									2.0	3.0
ID=AT2G21220.Araport11.447;Name=AT2G21220					1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0												1.0	1.0					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G32290.Araport11.447;Name=AT2G32290					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT2G23690.Araport11.447;Name=AT2G23690							1.0	1.0	2.0	2.0	2.0	3.0	3.0							1.0	1.0	1.0	1.0	1.0	2.0	2.0									1.0	1.0	1.0	1.0	1.0
ID=AT2G40710.Araport11.447;Name=AT2G40710				1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0							1.0	1.0	1.0	1.0	1.0	1.0	1.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G40116.Araport11.447;Name=AT2G40116									1.0	1.0	1.0	1.0	1.0																						1.0	1.0	1.0	1.0	1.0
ID=AT2G18915.Araport11.447;Name=AT2G18915							1.0	2.0	2.0	3.0	5.0	7.0	7.0							1.0	2.0	2.0	3.0	5.0	7.0	7.0													
ID=AT2G16620.Araport11.447;Name=AT2G16620			1.0	3.0	3.0	5.0	7.0	8.0	8.0	9.0	9.0	9.0	9.0			1.0	3.0	3.0	4.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0						1.0	1.0	2.0	2.0	3.0	3.0	3.0	3.0
ID=AT2G30925.Araport11.447;Name=AT2G30925						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT2G42725.Araport11.447;Name=AT2G42725																																							
ID=AT2G40400.Araport11.447;Name=AT2G40400									1.0	1.0	1.0	1.0	1.0																						1.0	1.0	1.0	1.0	1.0
ID=AT2G31265.Araport11.447;Name=AT2G31265																																							
ID=AT2G30440.Araport11.447;Name=AT2G30440										1.0	3.0	3.0	3.0										1.0	2.0	2.0	2.0											1.0	1.0	1.0
ID=AT2G02930.Araport11.447;Name=AT2G02930											2.0	4.0	5.0																								2.0	4.0	5.0
ID=AT2G13790.Araport11.447;Name=AT2G13790	1.0	1.0	2.0	5.0	5.0	5.0	6.0	6.0	10.0	12.0	14.0	16.0	21.0	1.0	1.0	2.0	4.0	4.0	4.0	5.0	5.0	7.0	9.0	9.0	9.0	13.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	4.0	4.0	6.0	8.0	9.0
ID=AT2G03550.Araport11.447;Name=AT2G03550			1.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	7.0	9.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0			1.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0	8.0
ID=AT2G26280.Araport11.447;Name=AT2G26280																																							
ID=AT2G11005.Araport11.447;Name=AT2G11005	1.0	1.0	2.0	2.0	3.0	6.0	6.0	7.0	7.0	8.0	11.0	18.0	23.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	5.0	1.0	1.0	1.0	1.0	2.0	5.0	5.0	6.0	6.0	7.0	10.0	16.0	19.0
ID=AT2G32040.Araport11.447;Name=AT2G32040				2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0				1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
ID=AT2G07632.Araport11.447;Name=AT2G07632																																							
ID=AT2G17480.Araport11.447;Name=AT2G17480							1.0	2.0	2.0	2.0	6.0	7.0	11.0							1.0	2.0	2.0	2.0	6.0	6.0	9.0												1.0	2.0
ID=AT2G13275.Araport11.447;Name=AT2G13275					1.0	1.0	2.0	3.0	3.0	3.0	3.0	9.0	13.0					1.0	1.0	2.0	3.0	3.0	3.0	3.0	7.0	9.0												2.0	4.0
ID=AT2G39850.Araport11.447;Name=AT2G39850										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT2G20618.Araport11.447;Name=AT2G20618									1.0	3.0	4.0	5.0	7.0									1.0	3.0	4.0	4.0	6.0												1.0	1.0
ID=AT2G17750.Araport11.447;Name=AT2G17750												2.0	5.0												1.0	2.0												1.0	3.0
ID=AT2G18720.Araport11.447;Name=AT2G18720																																							
ID=AT2G34940.Araport11.447;Name=AT2G34940													1.0																										1.0
ID=AT2G13800.Araport11.447;Name=AT2G13800	2.0	2.0	2.0	3.0	4.0	5.0	7.0	7.0	10.0	14.0	16.0	22.0	23.0	2.0	2.0	2.0	3.0	4.0	4.0	6.0	6.0	6.0	8.0	9.0	10.0	10.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	6.0	8.0	9.0	14.0	15.0
ID=AT2G20320.Araport11.447;Name=AT2G20320										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT2G16190.Araport11.447;Name=AT2G16190							1.0	3.0	4.0	4.0	5.0	5.0	6.0							1.0	3.0	4.0	4.0	5.0	5.0	5.0													1.0
ID=AT2G30470.Araport11.447;Name=AT2G30470		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0															1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G21960.Araport11.447;Name=AT2G21960											3.0	3.0	3.0											3.0	3.0	3.0													
ID=AT2G18900.Araport11.447;Name=AT2G18900											1.0	3.0	6.0												2.0	5.0											1.0	1.0	1.0
ID=AT2G02050.Araport11.447;Name=AT2G02050	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G27300.Araport11.447;Name=AT2G27300						1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0						1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0													1.0
ID=AT2G31800.Araport11.447;Name=AT2G31800													1.0																										1.0
ID=AT2G02970.Araport11.447;Name=AT2G02970									1.0	4.0	4.0	4.0	4.0									1.0	4.0	4.0	4.0	4.0													
ID=AT2G34530.Araport11.447;Name=AT2G34530									1.0	3.0	3.0	4.0	4.0									1.0	3.0	3.0	4.0	4.0													
ID=AT2G01554.Araport11.447;Name=AT2G01554										1.0	1.0	1.0	2.0										1.0	1.0	1.0	2.0													
ID=AT2G40030.Araport11.447;Name=AT2G40030																																							
ID=AT2G26320.Araport11.447;Name=AT2G26320																																							
ID=AT2G19050.Araport11.447;Name=AT2G19050					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT2G12400.Araport11.447;Name=AT2G12400			1.0	2.0	2.0	2.0	2.0	4.0	7.0	9.0	9.0	15.0	19.0								2.0	2.0	3.0	3.0	5.0	7.0			1.0	2.0	2.0	2.0	2.0	2.0	5.0	6.0	6.0	10.0	12.0
ID=AT2G43230.Araport11.447;Name=AT2G43230																																							
ID=AT2G30840.Araport11.447;Name=AT2G30840												3.0	7.0																									3.0	7.0
ID=AT2G46420.Araport11.447;Name=AT2G46420																																							
ID=AT2G44110.Araport11.447;Name=AT2G44110																																							
ID=AT2G37805.Araport11.447;Name=AT2G37805							1.0	1.0	1.0	1.0	1.0	1.0	1.0							1.0	1.0	1.0	1.0	1.0	1.0	1.0													
ID=AT2G30000.Araport11.447;Name=AT2G30000					1.0	1.0	1.0	1.0	1.0	1.0	2.0	3.0	4.0											1.0	2.0	3.0					1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G46455.Araport11.447;Name=AT2G46455																																							
ID=AT2G36420.Araport11.447;Name=AT2G36420										1.0	1.0	1.0	1.0										1.0	1.0	1.0	1.0													
ID=AT2G06200.Araport11.447;Name=AT2G06200						1.0	2.0	2.0	3.0	5.0	5.0	7.0	7.0									1.0	3.0	3.0	5.0	5.0						1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ID=AT2G33580.Araport11.447;Name=AT2G33580													1.0													1.0													
ID=AT2G37100.Araport11.447;Name=AT2G37100									1.0	2.0	2.0	2.0	2.0																						1.0	2.0	2.0	2.0	2.0
ID=AT2G15610.Araport11.447;Name=AT2G15610				1.0	2.0	2.0	2.0	3.0	4.0	4.0	4.0	6.0	6.0					1.0	1.0	1.0	2.0	3.0	3.0	3.0	4.0	4.0				1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0
ID=AT2G38010.Araport11.447;Name=AT2G38010																																							
ID=AT2G20625.Araport11.447;Name=AT2G20625						1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0									1.0	1.0	1.0	1.0	1.0						1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
ID=AT2G19490.Araport11.447;Name=AT2G19490													1.0																										1.0
ID=AT2G07641.Araport11.447;Name=AT2G07641													1.0																										1.0
ID=AT2G15440.Araport11.447;Name=AT2G15440		1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	4.0	7.0	10.0	11.0								1.0	1.0	1.0	2.0	2.0	3.0		1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	5.0	8.0	8.0
ID=AT2G35320.Araport11.447;Name=AT2G35320												1.0	2.0																									1.0	2.0
ID=AT2G29890.Araport11.447;Name=AT2G29890										1.0	1.0	1.0	1.0																							1.0	1.0	1.0	1.0
ID=AT2G30870.Araport11.447;Name=AT2G30870																																							
ID=AT2G43960.Araport11.447;Name=AT2G43960													1.0																										1.0
ID=AT2G47400.Araport11.447;Name=AT2G47400																																							
ID=AT2G42750.Araport11.447;Name=AT2G42750																																							
ID=AT2G03565.Araport11.447;Name=AT2G03565									4.0	6.0	7.0	12.0	16.0									3.0	3.0	3.0	4.0	4.0									1.0	3.0	4.0	8.0	12.0
ID=AT2G40360.Araport11.447;Name=AT2G40360																																							
ID=AT2G05050.Araport11.447;Name=AT2G05050	2.0	3.0	4.0	6.0	7.0	8.0	8.0	9.0	13.0	13.0	16.0	24.0	32.0	2.0	3.0	4.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	7.0	11.0	12.0	2.0	2.0	2.0	3.0	4.0	5.0	5.0	6.0	10.0	10.0	11.0	15.0	22.0
